url,title,product,author,votes
https://community.conga.com/s/ideadetail?id=087Ub00000008YfIAI,Automatic Refresh of Conga Grid upon New Record Addition,Conga Grid,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008X3IAI,Word quotation error: Error! Unknown op code for conditional.,Conga Composer,Team CESAR,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008VRIAY,End One O365 Review cycle at a time,Conga CLM (fka Apttus CLM),David Vernall,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008TpIAI,Promotions: Apply benefits at the bundle level instead of cart level,Pricing & Promotions,Shiv Chorawala,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008SDIAY,"Imported offline document should be on top of the list on ""Send For eSignature"" page",Conga CLM (fka Apttus CLM),Hardik Macwan,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008QbIAI,There should be version number available on the X-Author 2.0,X-Author for Contracts,ECOM Help Desk,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008OzIAI,CLM -  Error handling notifications,Conga CLM (fka Apttus CLM),Florence Eden,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008NNIAY,Ability to use Lightning Email Template Folders in Orchestrate,Conga Orchestrate,Nicole Broussard,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008K9IAI,Request to manage page numbers through a custom header/footer while merging the documents in CLM,Conga CLM (fka Apttus CLM),Rohit Bavaliya,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008IXIAY,Cumulative Rage Discount Setup Using Incentives,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Divya Dubey,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008GvIAI,Keep Special Characters in Microsoft Word when Naming a Document,X-Author for Contracts,Matt Penrod,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008FJIAY,Default Read-Only Clauses at the Template Level,X-Author for Contracts,Matt Penrod,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008DhIAI,Automatically close instance of Word when checking in and unprotecting a document,X-Author for Contracts,Matt Penrod,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008C5IAI,Conga Quote Approvals: Refreshing the Return page in Console Application moves the Quote status from Presented to Approved.,"Conga Approvals (fka Apttus Intelligent Workflows and Approvals);Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Harshit Solanki,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008ATIAY,Dark Mode,Conga Contracts,Andrea Corbett,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub000000088rIAA,Conga Sign Writeback Tag required when using DefaultValue,Conga Sign,Brandon Cole,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub000000087FIAQ,Promotions: Promotion should apply to all nested bundle options,Pricing & Promotions,Shahid Ali,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub000000085dIAA,HasIncentive and Incentive Code flag value in C# PCB (BasePriceCallback),Pricing & Promotions,Shahid Ali,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000841IAA,setIncentivesForCart API: Incentive code should be applied on Benefits items too.,Pricing & Promotions,Shahid Ali,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub000000082PIAQ,Displaying data from multiple objects which are not related directly,Conga Composer,Sreenivasulu Sake,3 Votes
